Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributors,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Release_Date,Total_Votes,Class,Total_Votes_log
54,58,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,189,FALSE,111,0,77481,FALSE,31,5353,1,low,0
26,35,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,43,FALSE,32,0,47306,FALSE,23,2234,0,low,0
18,19,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,34,FALSE,156,0,1385859,FALSE,89,826,25,high,1.397940009
24,27,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,8,FALSE,55,0,58072,FALSE,12,7173,6,low,0.77815125
29,32,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,38,TRUE,175,0,990612,FALSE,273,3204,12,high,1.079181246
37,40,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,35,FALSE,96,1,253453,FALSE,33,7936,3,low,0.477121255
19,20,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,103,TRUE,45,0,273854,FALSE,10,699,16,high,1.204119983
36,40,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,78,TRUE,363,3,4131701,FALSE,623,2036,54,high,1.73239376
55,62,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,37,FALSE,226,4,1891346,FALSE,94,2074,23,high,1.361727836
33,41,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,53,FALSE,207,7,1930333,FALSE,90,566,0,low,0
20,24,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,17,TRUE,191,3,1147870,FALSE,203,2841,19,high,1.278753601
20,29,FALSE,unreviewed,2,FALSE,419,?,FALSE,FALSE,FALSE,111,FALSE,66,0,55588,FALSE,3,9854,4,low,0.602059991
25,26,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,47,FALSE,239,0,1480434,FALSE,207,2914,9,low,0.954242509
7,8,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,48,FALSE,43,0,74911,FALSE,30,3594,1,low,0
106,107,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,26,TRUE,536,0,1719362,FALSE,521,1657,67,high,1.826074803
18,22,FALSE,unreviewed,2,TRUE,17568,144243,FALSE,FALSE,TRUE,170,TRUE,172,0,828968,FALSE,227,2528,17,high,1.230448921
16,19,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,100,0,1376561,FALSE,138,1705,32,high,1.505149978
98,101,FALSE,accepted,5,FALSE,21495,34478,FALSE,FALSE,TRUE,142,TRUE,552,2,2049199,FALSE,111,2036,32,high,1.505149978
14,27,FALSE,unreviewed,1,FALSE,419,?,FALSE,FALSE,FALSE,48,FALSE,58,0,93873,FALSE,13,10415,1,low,0
39,47,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,56,FALSE,231,1,1028013,FALSE,143,7768,2,low,0.301029996
53,55,FALSE,accepted,3,TRUE,17568,144243,FALSE,FALSE,TRUE,15,TRUE,322,0,1121576,FALSE,254,2784,218,high,2.338456494
36,37,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,25,TRUE,508,0,4526124,FALSE,507,401,77,high,1.886490725
3,4,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,47,FALSE,18,0,37939,FALSE,46,4310,1,low,0
59,62,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,59,TRUE,453,0,1377723,FALSE,100,401,1,low,0
45,46,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,44,FALSE,191,0,2798227,FALSE,1397,1207,11,high,1.041392685
22,24,FALSE,accepted,2,FALSE,21495,34478,FALSE,FALSE,TRUE,53,TRUE,366,1,2267806,FALSE,211,401,108,high,2.033423755
5,20,FALSE,unreviewed,1,TRUE,38,?,FALSE,FALSE,FALSE,52,FALSE,6,0,?,FALSE,9,1115,1,low,0
34,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,19,FALSE,80,0,243325,FALSE,28,8020,10,low,1
13,15,FALSE,accepted,3,TRUE,21495,34478,FALSE,FALSE,TRUE,141,TRUE,159,0,1329333,FALSE,136,136,6,low,0.77815125
134,137,FALSE,accepted,3,FALSE,21495,34478,FALSE,FALSE,TRUE,79,TRUE,714,2,4168155,FALSE,573,1742,35,high,1.544068044
8,14,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,44,FALSE,24,0,36887,FALSE,42,7089,0,low,0
57,58,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,154,TRUE,157,0,183015,FALSE,19,611,10,low,1
66,69,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,168,FALSE,306,2,2875478,FALSE,342,1699,31,high,1.491361694
22,24,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,37,FALSE,62,0,58154,FALSE,8,7936,14,high,1.146128036
66,67,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,14,TRUE,246,0,2418330,FALSE,820,1545,69,high,1.838849091
50,57,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,25,TRUE,88,0,188652,FALSE,27,1986,11,high,1.041392685
22,27,FALSE,accepted,2,TRUE,2660,?,FALSE,FALSE,FALSE,40,FALSE,158,0,1163069,FALSE,159,8970,23,high,1.361727836
32,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,81,FALSE,85,0,276104,FALSE,35,7866,0,low,0
17,18,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,70,TRUE,319,0,3190791,FALSE,366,625,39,high,1.591064607
21,26,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,93,FALSE,27,0,24461,FALSE,1,9854,1,low,0
17,18,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,41,FALSE,53,0,66937,FALSE,10,7173,3,low,0.477121255
10,16,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,64,FALSE,28,0,36933,FALSE,47,7089,0,low,0
29,30,FALSE,accepted,3,FALSE,21495,34478,FALSE,FALSE,TRUE,114,TRUE,356,0,4016170,FALSE,162,401,8,low,0.903089987
24,25,FALSE,accepted,2,FALSE,8610,?,FALSE,FALSE,FALSE,81,FALSE,175,0,1691176,FALSE,204,863,62,high,1.792391689
