,Accepted_Annotations,Annotation_Count,Annotation_ID,Annotation_Is_Verified,Artist,Classification,Comment_Count,Featured,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributers,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Referent_ID,Release_Date,Song_Title,Total_Votes
31,N/A,34,N/A,False,Sia,verified,0,N/A,N/A,778,5966,False,False,True,68,False,N/A,N/A,1126713,False,412.0,2941068,N/A,Chandelier by Sia,20
32,N/A,34,N/A,True,Sia,verified,1,N/A,N/A,778,5966,False,False,True,61,False,N/A,N/A,1126713,True,412.0,2941067,N/A,Chandelier by Sia,98
33,N/A,49,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,19,False,N/A,N/A,961077,False,981.0,6392289,N/A,Guts Over Fear by Eminem (Ft. Sia),10
34,N/A,49,N/A,True,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,142,False,N/A,N/A,961077,False,981.0,5184055,N/A,Guts Over Fear by Eminem (Ft. Sia),2
35,N/A,49,N/A,True,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,142,False,N/A,N/A,961077,False,981.0,5016679,N/A,Guts Over Fear by Eminem (Ft. Sia),-3
36,N/A,49,N/A,True,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,150,False,N/A,N/A,961077,False,981.0,4914586,N/A,Guts Over Fear by Eminem (Ft. Sia),6
37,N/A,49,N/A,True,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,134,False,N/A,N/A,961077,False,981.0,4908570,N/A,Guts Over Fear by Eminem (Ft. Sia),27
38,N/A,49,N/A,True,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,40,False,N/A,N/A,961077,False,981.0,4880767,N/A,Guts Over Fear by Eminem (Ft. Sia),4
39,N/A,49,N/A,True,Sia,accepted,3,N/A,N/A,778,5966,False,False,True,84,False,N/A,N/A,961077,False,981.0,4864874,N/A,Guts Over Fear by Eminem (Ft. Sia),32
40,N/A,49,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,58,False,N/A,N/A,961077,False,981.0,3964165,N/A,Guts Over Fear by Eminem (Ft. Sia),16
41,N/A,49,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,47,False,N/A,N/A,961077,False,981.0,3962968,N/A,Guts Over Fear by Eminem (Ft. Sia),26
42,N/A,49,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,38,False,N/A,N/A,961077,False,981.0,3962507,N/A,Guts Over Fear by Eminem (Ft. Sia),82
43,N/A,12,N/A,False,Sia,unreviewed,0,N/A,N/A,778,5966,False,False,True,12,False,N/A,N/A,892280,False,75.0,14104817,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),0
44,N/A,12,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,82,False,N/A,N/A,892280,False,75.0,11777364,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),3
45,N/A,12,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,38,False,N/A,N/A,892280,False,75.0,11417646,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),13
46,N/A,12,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,73,False,N/A,N/A,892280,False,75.0,11337582,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),19
47,N/A,12,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,100,False,N/A,N/A,892280,False,75.0,11315389,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),57
48,N/A,12,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,97,False,N/A,N/A,892280,False,75.0,11315284,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),42
49,N/A,12,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,49,False,N/A,N/A,892280,False,75.0,11315222,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),37
50,N/A,12,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,206,False,N/A,N/A,892280,False,75.0,11315043,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),71
51,N/A,12,N/A,False,Sia,accepted,7,N/A,N/A,778,5966,False,False,True,307,False,N/A,N/A,892280,False,75.0,11314846,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),38
52,N/A,12,N/A,False,Sia,accepted,3,N/A,N/A,778,5966,False,False,True,102,False,N/A,N/A,892280,False,75.0,11314820,N/A,Chained to the Rhythm by Katy Perry (Ft. Skip Marley),27
53,N/A,7,N/A,False,Sia,accepted,4,N/A,N/A,778,5966,False,False,True,150,False,N/A,N/A,863887,False,46.0,8402023,N/A,Cheap Thrills by Sia,50
54,N/A,7,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,48,False,N/A,N/A,863887,False,46.0,8401603,N/A,Cheap Thrills by Sia,14
55,N/A,7,N/A,False,Sia,accepted,4,N/A,N/A,778,5966,False,False,True,57,False,N/A,N/A,863887,False,46.0,8401464,N/A,Cheap Thrills by Sia,25
56,N/A,7,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,22,False,N/A,N/A,863887,False,46.0,8401319,N/A,Cheap Thrills by Sia,34
57,N/A,7,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,51,False,N/A,N/A,863887,False,46.0,8393665,N/A,Cheap Thrills by Sia,29
58,N/A,7,N/A,False,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,125,False,N/A,N/A,863887,False,46.0,8391920,N/A,Cheap Thrills by Sia,34
59,N/A,5,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,22,False,N/A,N/A,684601,False,101.0,12664840,N/A,Crying in the Club by Camila Cabello,5
60,N/A,5,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,47,False,N/A,N/A,684601,False,101.0,12384276,N/A,Crying in the Club by Camila Cabello,15
61,N/A,5,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,38,False,N/A,N/A,684601,False,101.0,11871300,N/A,Crying in the Club by Camila Cabello,56
62,N/A,5,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,37,False,N/A,N/A,684601,False,101.0,11868142,N/A,Crying in the Club by Camila Cabello,69
63,N/A,44,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,35,False,N/A,N/A,683598,False,210.0,2875362,N/A,Beautiful Pain by Eminem (Ft. Sia),8
64,N/A,44,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,53,False,N/A,N/A,683598,False,210.0,2726180,N/A,Beautiful Pain by Eminem (Ft. Sia),9
65,N/A,44,N/A,False,Sia,accepted,3,N/A,N/A,778,5966,False,False,True,89,False,N/A,N/A,683598,False,210.0,2642433,N/A,Beautiful Pain by Eminem (Ft. Sia),33
66,N/A,44,N/A,False,Sia,accepted,4,N/A,N/A,778,5966,False,False,True,57,False,N/A,N/A,683598,False,210.0,2597887,N/A,Beautiful Pain by Eminem (Ft. Sia),7
67,N/A,44,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,46,False,N/A,N/A,683598,False,210.0,2444575,N/A,Beautiful Pain by Eminem (Ft. Sia),14
68,N/A,44,N/A,False,Sia,unreviewed,3,N/A,N/A,778,5966,False,False,True,59,False,N/A,N/A,683598,False,210.0,2416382,N/A,Beautiful Pain by Eminem (Ft. Sia),14
69,N/A,44,N/A,False,Sia,accepted,1,N/A,N/A,778,5966,False,False,True,56,False,N/A,N/A,683598,False,210.0,2409037,N/A,Beautiful Pain by Eminem (Ft. Sia),5
70,N/A,44,N/A,False,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,80,False,N/A,N/A,683598,False,210.0,2402387,N/A,Beautiful Pain by Eminem (Ft. Sia),21
71,N/A,44,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,74,False,N/A,N/A,683598,False,210.0,2402381,N/A,Beautiful Pain by Eminem (Ft. Sia),9
72,N/A,44,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,56,False,N/A,N/A,683598,False,210.0,2400327,N/A,Beautiful Pain by Eminem (Ft. Sia),14
73,N/A,24,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,13,False,N/A,N/A,573334,False,178.0,11315182,N/A,Pretty Hurts by Beyonce,6
74,N/A,24,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,41,False,N/A,N/A,573334,False,178.0,10141730,N/A,Pretty Hurts by Beyonce,2
75,N/A,24,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,68,False,N/A,N/A,573334,False,178.0,10141714,N/A,Pretty Hurts by Beyonce,2
76,N/A,24,N/A,False,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,41,False,N/A,N/A,573334,False,178.0,10141710,N/A,Pretty Hurts by Beyonce,4
77,N/A,24,N/A,False,Sia,accepted,3,N/A,N/A,778,5966,False,False,True,110,False,N/A,N/A,573334,False,178.0,4437925,N/A,Pretty Hurts by Beyonce,28
78,N/A,24,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,14,False,N/A,N/A,573334,False,178.0,2619676,N/A,Pretty Hurts by Beyonce,12
79,N/A,24,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,38,False,N/A,N/A,573334,False,178.0,2569323,N/A,Pretty Hurts by Beyonce,10
80,N/A,24,N/A,False,Sia,accepted,0,N/A,N/A,778,5966,False,False,True,58,False,N/A,N/A,573334,False,178.0,2550857,N/A,Pretty Hurts by Beyonce,15
81,N/A,24,N/A,False,Sia,accepted,2,N/A,N/A,778,5966,False,False,True,52,False,N/A,N/A,573334,False,178.0,2550621,N/A,Pretty Hurts by Beyonce,41
82,N/A,24,N/A,False,Sia,accepted,6,N/A,N/A,778,5966,False,False,True,254,False,N/A,N/A,573334,False,178.0,2550618,N/A,Pretty Hurts by Beyonce,49
83,N/A,104,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,58,False,N/A,N/A,2015800,False,338.0,13977012,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),0
84,N/A,104,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,43,False,N/A,N/A,2015800,False,338.0,13976984,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),0
85,N/A,104,N/A,False,2Pac,unreviewed,1,N/A,N/A,2660,N/A,False,False,False,39,False,N/A,N/A,2015800,False,338.0,379233,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),0
86,N/A,104,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,54,False,N/A,N/A,2015800,False,338.0,11155900,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),5
87,N/A,104,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,42,False,N/A,N/A,2015800,False,338.0,11155839,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),7
88,N/A,104,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,50,False,N/A,N/A,2015800,False,338.0,11155821,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),6
89,N/A,104,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,27,False,N/A,N/A,2015800,False,338.0,7742973,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),6
90,N/A,104,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,14,False,N/A,N/A,2015800,False,338.0,4352943,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),9
91,N/A,104,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,40,False,N/A,N/A,2015800,False,338.0,3999767,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),15
92,N/A,104,N/A,False,2Pac,accepted,2,N/A,N/A,2660,N/A,False,False,False,38,False,N/A,N/A,2015800,False,338.0,3999766,N/A,Hit 'Em Up by 2Pac (Ft. Outlawz),5
93,N/A,56,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,435,False,N/A,N/A,1317951,False,525.0,7907075,N/A,Mortal Man by Kendrick Lamar,51
94,N/A,56,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,109,False,N/A,N/A,1317951,False,525.0,6915381,N/A,Mortal Man by Kendrick Lamar,25
95,N/A,56,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,71,False,N/A,N/A,1317951,False,525.0,5052245,N/A,Mortal Man by Kendrick Lamar,38
96,N/A,56,N/A,False,2Pac,accepted,4,N/A,N/A,2660,N/A,False,False,False,256,False,N/A,N/A,1317951,False,525.0,5050753,N/A,Mortal Man by Kendrick Lamar,40
97,N/A,56,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,176,False,N/A,N/A,1317951,False,525.0,5050562,N/A,Mortal Man by Kendrick Lamar,30
98,N/A,56,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,71,False,N/A,N/A,1317951,False,525.0,5050284,N/A,Mortal Man by Kendrick Lamar,37
99,N/A,56,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,22,False,N/A,N/A,1317951,False,525.0,5050271,N/A,Mortal Man by Kendrick Lamar,50
100,N/A,56,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,126,False,N/A,N/A,1317951,False,525.0,5050248,N/A,Mortal Man by Kendrick Lamar,40
101,N/A,56,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,147,False,N/A,N/A,1317951,False,525.0,5050100,N/A,Mortal Man by Kendrick Lamar,37
102,N/A,56,N/A,False,2Pac,accepted,12,N/A,N/A,2660,N/A,False,False,False,156,False,N/A,N/A,1317951,False,525.0,5049211,N/A,Mortal Man by Kendrick Lamar,105
103,N/A,27,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,36,False,N/A,N/A,1163026,False,159.0,14038168,N/A,Keep Ya Head Up by 2Pac,2
104,N/A,27,N/A,False,2Pac,unreviewed,1,N/A,N/A,2660,N/A,False,False,False,53,False,N/A,N/A,1163026,False,159.0,13130900,N/A,Keep Ya Head Up by 2Pac,8
105,N/A,27,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,37,False,N/A,N/A,1163026,False,159.0,8207639,N/A,Keep Ya Head Up by 2Pac,59
106,N/A,27,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,29,False,N/A,N/A,1163026,False,159.0,3174843,N/A,Keep Ya Head Up by 2Pac,73
107,N/A,27,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,9,False,N/A,N/A,1163026,False,159.0,1535235,N/A,Keep Ya Head Up by 2Pac,17
108,N/A,27,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,151,False,N/A,N/A,1163026,False,159.0,1311511,N/A,Keep Ya Head Up by 2Pac,33
109,N/A,27,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,44,False,N/A,N/A,1163026,False,159.0,1267184,N/A,Keep Ya Head Up by 2Pac,20
110,N/A,27,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,61,False,N/A,N/A,1163026,False,159.0,456916,N/A,Keep Ya Head Up by 2Pac,21
111,N/A,27,N/A,False,2Pac,accepted,2,N/A,N/A,2660,N/A,False,False,False,40,False,N/A,N/A,1163026,False,159.0,456912,N/A,Keep Ya Head Up by 2Pac,23
112,N/A,27,N/A,False,2Pac,unreviewed,4,N/A,N/A,2660,N/A,False,False,False,178,False,N/A,N/A,1163026,False,159.0,366098,N/A,Keep Ya Head Up by 2Pac,61
113,N/A,47,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,9,False,N/A,N/A,1027993,False,143.0,14479264,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),0
114,N/A,47,N/A,False,2Pac,unreviewed,1,N/A,N/A,2660,N/A,False,False,False,49,False,N/A,N/A,1027993,False,143.0,14360852,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),1
115,N/A,47,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,54,False,N/A,N/A,1027993,False,143.0,14344973,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),2
116,N/A,47,N/A,False,2Pac,unreviewed,1,N/A,N/A,2660,N/A,False,False,False,15,False,N/A,N/A,1027993,False,143.0,14023945,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),-3
117,N/A,47,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,71,False,N/A,N/A,1027993,False,143.0,13987980,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),0
118,N/A,47,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,14,False,N/A,N/A,1027993,False,143.0,12272581,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),1
119,N/A,47,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,34,False,N/A,N/A,1027993,False,143.0,12225157,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),0
120,N/A,47,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,48,False,N/A,N/A,1027993,False,143.0,11018867,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),5
121,N/A,47,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,56,False,N/A,N/A,1027993,False,143.0,11018826,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),2
122,N/A,47,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,7,False,N/A,N/A,1027993,False,143.0,8989679,N/A,Hail Mary by 2Pac (Ft. Outlawz & Prince Ital Joe),11
123,N/A,32,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,53,False,N/A,N/A,994884,False,262.0,13052465,N/A,Changes by 2Pac (Ft. Talent),2
124,N/A,32,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,50,False,N/A,N/A,994884,False,262.0,13052461,N/A,Changes by 2Pac (Ft. Talent),2
125,N/A,32,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,155,False,N/A,N/A,994884,False,262.0,13052390,N/A,Changes by 2Pac (Ft. Talent),10
126,N/A,32,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,17,False,N/A,N/A,994884,False,262.0,7766327,N/A,Changes by 2Pac (Ft. Talent),15
127,N/A,32,N/A,True,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,59,False,N/A,N/A,994884,False,262.0,5097624,N/A,Changes by 2Pac (Ft. Talent),-3
128,N/A,32,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,27,False,N/A,N/A,994884,False,262.0,3912102,N/A,Changes by 2Pac (Ft. Talent),163
129,N/A,32,N/A,False,2Pac,accepted,4,N/A,N/A,2660,N/A,False,False,False,53,False,N/A,N/A,994884,False,262.0,1314612,N/A,Changes by 2Pac (Ft. Talent),20
130,N/A,32,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,20,False,N/A,N/A,994884,False,262.0,1296493,N/A,Changes by 2Pac (Ft. Talent),31
131,N/A,32,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,15,False,N/A,N/A,994884,False,262.0,1102648,N/A,Changes by 2Pac (Ft. Talent),33
132,N/A,32,N/A,False,2Pac,accepted,2,N/A,N/A,2660,N/A,False,False,False,91,False,N/A,N/A,994884,False,262.0,953153,N/A,Changes by 2Pac (Ft. Talent),40
133,N/A,23,N/A,False,2Pac,unreviewed,1,N/A,N/A,2660,N/A,False,False,False,102,False,N/A,N/A,897721,False,206.0,9472492,N/A,Dear Mama by 2Pac,15
134,N/A,23,N/A,False,2Pac,unreviewed,0,N/A,N/A,2660,N/A,False,False,False,34,False,N/A,N/A,897721,False,206.0,8207693,N/A,Dear Mama by 2Pac,3
135,N/A,23,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,33,False,N/A,N/A,897721,False,206.0,8207676,N/A,Dear Mama by 2Pac,22
136,N/A,23,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,286,False,N/A,N/A,897721,False,206.0,3931621,N/A,Dear Mama by 2Pac,18
137,N/A,23,N/A,False,2Pac,accepted,1,N/A,N/A,2660,N/A,False,False,False,92,False,N/A,N/A,897721,False,206.0,3287075,N/A,Dear Mama by 2Pac,30
138,N/A,23,N/A,False,2Pac,accepted,0,N/A,N/A,2660,N/A,False,False,False,89,False,N/A,N/A,897721,False,206.0,3131701,N/A,Dear Mama by 2Pac,20
139,N/A,23,N/A,False,2Pac,accepted,3,N/A,N/A,2660,N/A,False,False,False,95,False,N/A,N/A,897721,False,206.0,3131691,N/A,Dear Mama by 2Pac,34
140,N/A,23,N/A,False,2Pac,accepted,2,N/A,N/A,2660,N/A,False,False,False,45,False,N/A,N/A,897721,False,206.0,1763181,N/A,Dear Mama by 2Pac,28
